未分组,#genre#
新闻,#genre#
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxnnk40gvKk7ifB4t1cw0rKrFvH1z9p2lgdH3R2i9JhFB_G6zFU0cB5a-iW3jrArHwP18Urqsw_XtYME3s7-4yqr7aM1cZPs_F14mI9vJOeUE2165neUH6d1mr8Fsb4DOUSZoh4sBXiWTVU3lHpkZXJ4hiKbBOpnXFzhYgsaqiKN7Obwz-sNtbxJTUKlILG6ZYcBjOK7lxL2gktqwPNZlfkA.m3u8?ips=&u=1777771417
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxnnk40gvKk7ifB4t1cw0rKrFvH1z9p2lgdH3R2i9JhFB_G6zFU0cB5a-iW3jrArHwlRZ4iwrE_BBdn6HHZalumpsNmOrGfVTNBoqlZmY90wXDqRaSBjxe0SyRzGUd0Q_vxbzSZKz6JaAImcVB3qfW6rsF85WNemNGXuCG9hNUnijUieDEDKJ41-knUtPw8Zxe7fE-MFlv0_72O5N6N4fwmA.m3u8?ips=&u=1777853218
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxnnk40gvKk7ifB4t1cw0rKrFvH1z9p2lgdH3R2i9JhFB_G6zFU0cB5a-iW3jrArHwudzUVGsStbojWh43MRJa77aeJTNghRohCGvZFYT73Rpi8s7CssekQgaeBGdl-tT8YcaNXflUuVY0jdD70tphDypOnG9QqGkxK2690745u0ooRISfRI-ezJi2NHwNbh4wMm1Zk7_5g3SX9RfdSWBkLg.m3u8?ips=&u=1777807708
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxCPk0B8ijMjqFBU9rSof0kcLZD9C-_6NtwDhtM_E8rCK6otjydJ9K36GaNAJ_34MIP0G4-ZOp9P5TKYPV6HNcZkmEmAre6ZnIcmdLH6kjkBcCdOth5iW37DmwWyqdGeou414gACevrzPFMFd0BxfoN55EAwjDBb3VHMzFvDlL4Qdi5UUJTvR-uBxgBIKMQdeDAGqmd5NF9ksL9X4V2wTpoRFtyiP_Q_FDlXp1r12Qcs0.m3u8?ips=&u=1777851295
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxnnk40gvKk7ifB4t1cw0rKrFvH1z9p2lgdH3R2i9JhFB_G6zFU0cB5a-iW3jrArHwzx8eiJ605_9-Erh736Ei4vqHqh2G9QdSz6sfMU-wwzpu3UzJa0sf3xNYJRq6CTJCeWPG7P7isZ861nneGRJ_FOLDEcx1szGOoEeJG7QMKm01hoiV9LusRRWt1jHjRymxPnHI4KZxtQgZucGpw-mwpA.m3u8?ips=&u=1777851232
凤凰资讯,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwvNciyUd4lBeW7JwMJWBTGVcXbMAb8RrRy4CJ_HKZjawg3V8lDo_TGR_xeJOUXoMYrjDpGPoR_9A9P4SiSuAPG7vvCMeBE_87IAcXkXcHE7qKkcviGkFQ1tIomAvbi9Ur3yTMAaovxZosWM4cQa_EUUPv0DcbLhhLJ7tImJ8T0Ezf3KhWgZJ8BEFaNBc-vVrcPsoD9Ho52CAB4mtUJEnCUvQ.m3u8?ips=&u=1778227732
凤凰资讯,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwvgECACKEIFxceFwa6MnnJxmlfRD_1wnp_zH8wGkWp3N1yz3bJbzLRjA_QH_XmEeewMWclSYFPLtDh-0CDKECnnC0okqlCcdS4rcpbfFIaIAsQ_z5LyL1W_0upS4wenn9Ica9D8NhaHecMgyhEGIvW0gXMuvIDfgkCBA2KfVzgC1keoEMgLT-ShbgIAxeH23pSesTghogb6g52lBihS-nmNuQfAOoFfg5htc21MWBR9Kk.m3u8?ips=&u=1778227736
凤凰资讯,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxnnk40gvKk7ifB4t1cw0rKrFvH1z9p2lgdH3R2i9JhFB_G6zFU0cB5a-iW3jrArHw96esSfe211aw-eoY9lpAPVKRjRPLBosHNOPoJxIrm5jpbmZVw7cK7ZkBS7E0Nv-ILMvFc8-Qr9WEGE5obWehEooGngBf2pv11fL1l2ilIojNf7JBGVZUZJOFTQ3bCzDxqydo8QLCixvMs1fl0hLQ1g.m3u8?ips=&u=1777771604
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSx6l_vj9fy-0tqHMXX2u8jxYMXYlEJ3B2YtI5AYXqmRaofb3zNbA1bFGnUCQ1lfRW9j-pUWmS37aaorPxtFDXuNmX5oBNCf59C0Ehy13lFI6-2jjE71AZptIXkIMya7iutmiAe1A6rA4y2hpgiWmF1wLQGYWBF8lI-cOQoCH1TAOfD7D-IXXQSt-UiDRVqvrh7LQ9VNRC5YrSsEBhkgPoY1Q.m3u8?ips=&u=1777771479
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSx6l_vj9fy-0tqHMXX2u8jxYMXYlEJ3B2YtI5AYXqmRaofb3zNbA1bFGnUCQ1lfRW9ODu0dYCPJzZJR8DmOF8i7pNBn9EcOSx3cQ5FuGIDx6hMGeGqYBX-XTJCBzxwZCGQv0IJcL1LEz1lSORtfGVU7qcyKSXVbp6xV2uehDXb34F9LrZKgurw-qhHyZDcxucZNTrAUvpFtZ8IgmRdpZHbYQ.m3u8?ips=&u=1777851232
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxCPk0B8ijMjqFBU9rSof0kcLZD9C-_6NtwDhtM_E8rCK6otjydJ9K36GaNAJ_34MIP0G4-ZOp9P5TKYPV6HNcZkmEmAre6ZnIcmdLH6kjkBcCdOth5iW37DmwWyqdGeou414gACevrzPFMFd0BxfoN55EAwjDBb3VHMzFvDlL4Qdi5UUJTvR-uBxgBIKMQdeDAGqmd5NF9ksL9X4V2wTpoRFtyiP_Q_FDlXp1r12Qcs0.m3u8?ips=&u=1777851295
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxCPk0B8ijMjqFBU9rSof0kcLZD9C-_6NtwDhtM_E8rCK6otjydJ9K36GaNAJ_34MIgkNJMWnccuPY1kppxddBYmkROA6dLea-Ap4hR-fafLVmbe_jmx98xIi7_8Z2kZIagFdlg0n_S2jmXmsPQpr37aT9zmA17B8xP8KsOUGiaT6UXrVYcjSKGdV8v4qRQkfAy9EHcHpg7bzqtx0ruXcRhmEaR9KaqdeB1try6J3IReY.m3u8?ips=&u=1777808092
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSx6l_vj9fy-0tqHMXX2u8jxYMXYlEJ3B2YtI5AYXqmRaofb3zNbA1bFGnUCQ1lfRW9Mg91vPkKwv0wRjeHmeTbF_C49q1Y3dvE6bLF6pI4Tn8tgbaI3wfiS0Gmc0iZT4bCR3w1fJ0UM5cn8N4i-e0y73Gj7oo6RscPaK1I4idaUoH60KYS1-Xnxj_r0HBgkC-m9QWV5CSQwskDtkL4BYU0nA.m3u8?ips=&u=1777853218
凤凰中文,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwv0KIT2ES-vVOF-ImzI97RECswXcxjngqDqPyryvTtgpjo36blQrO-j51MwwKEJ6-p2ZorIBVXNCPcGw2K6PQ0sr1Drg_X47_ZVMilV-HtYQQZQ1xyn50Zt8kNICAv9mzjwieULzF3jodIutmTF4qQxDvLzGM1225zHDgCiAqOOE3NjMj_CpSFoN63x5HuaYHOVyorMVGPTACiDKdaumNXsQ.m3u8?ips=&u=1778227744
凤凰中文,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwvWoXB5NpYMeeBpgi_sXLVEVfHpAZ5jEIK0JnC_7M9L4DPbNZDr9Gq1hb2D-VHvbpk0lqQ17PtRZoQR-IDDcMkSr8tlYTZLCRH2OeiCh6qhgp7TxX_i8iuFt8jThIv308djrS7pzV_yGFLFSIyWsWa_TUkoiu2zviXFz7PU3nel_f3cMQLck-YtKai2n-X1o_tR9qrgfEPPRe8O0j1inT1c5JdTjJCfQZOyv1muLviqlA.m3u8?ips=&u=1778227748
凤凰中文,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSx6l_vj9fy-0tqHMXX2u8jxYMXYlEJ3B2YtI5AYXqmRaofb3zNbA1bFGnUCQ1lfRW90qBohpibsB_nVYUjf3P8u0b7mplAcLj71DxZxA-hKXKp25idUBNukzjlHBF9gI--TzAkjf7eXtwCvAKibOfUNCU9CK--NZpnHCvIcmONOLzK12HGuKdDrWyU7CtYM1ai7BdbVhcCu0z-4ymG_rGAYQ.m3u8?ips=&u=1777771604
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxOlWVYYO4EJMNE9aX1VSOpaxjENUBToII5Uf8JkXp_iWvRV4tuOFmMAWCiLP4krd7b67DWVNeMIa28toLW7ZTH32ldlsS3zueTfUTnfHx4WMrxHvgcOsH9U6aLoJbFpy3t7F65OFfMq9PotaJnnUI89bIyfG6XqASMY9zXlaACepHlTckCfyYcKgBfcqXJf5LYmHHE6b2WS5tY-WspZO30ksdNTenHpLXVH4A9LMVcUE.m3u8?ips=&u=1777771479
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxtorII7el6NwswELQDLbRelmtfImw2jeqFA-OrkXv0WYSY2yVDYT4XNUIV3Ygh83FbxDr-SUKHtUBDTu_m6phZsLxICRS6Eebqzgi_hOc4ohFam8l_pUiNw_i5UTHQKY9ENsEYJtEUOC1hSOVUYJHnDqJmHXXgRoRKBK596iLQjD9zU8LkKlMoWgD8wFF5C5EyhsqZx6aq5nWzoUUmvhUt3PnR8BTG7sy7j-QD0R3Xpk.m3u8?ips=&u=1777853218
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxtorII7el6NwswELQDLbRelmtfImw2jeqFA-OrkXv0WYSY2yVDYT4XNUIV3Ygh83FjihvyT4eO3mWBf84xVVPMZb6598z0PefIz8t7JdMmJl5qKGO45rLVrPAgQ_hEjIaYtVZVbJCTSS58miFHez3xTuTZIdt_qT-P6hkWADBZZCVAL4hBxKU7jmJE8TzNRzTPBeE7aIXkkbFJqlhf7pWl7LoyTEmOo7aoaZtMNZFFSk.m3u8?ips=&u=1777807708
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxOlWVYYO4EJMNE9aX1VSOpaxjENUBToII5Uf8JkXp_iWvRV4tuOFmMAWCiLP4krd773gCs1tXc_KksRXd3pTAARYDZActz3rQZrVU98rOIaV-6vFqUt6izLEQ4jHrk7FWV5mf-m2R-Jg6DFK3n9HOjpurBkBhBwmGzsBdZObTupS2wvzHvLN14JV0wJvVrG9HPVe-MGaflntpLiyhHYFbOns8du5v8S9reSXPJEe8BKI.m3u8?ips=&u=1777807708
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxtorII7el6NwswELQDLbRelmtfImw2jeqFA-OrkXv0WYSY2yVDYT4XNUIV3Ygh83FmBaQ4dP18RS0QDD8Jzmnj8BPO1WSNXsLqIE3WyAdMVAC9zMlZDC1obCOXrAY5Sc5hOlVhtnwLA9eNYHR0Ib9-2TH4Qv2DLecFCueJu1nqwxLXGuN-ap5lr_Qbrq7NvpIxNjyKQ_1aECPGANLNXLhrBxUCh-iva2SRTk1WWQk0mY.m3u8?ips=&u=1777851232
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxOlWVYYO4EJMNE9aX1VSOpaxjENUBToII5Uf8JkXp_iWvRV4tuOFmMAWCiLP4krd7c5OUwFpUlA3mJbDIVRl_u4x_Qgx0WYZg6-5qQwmkEmTb9-31Qgjxy1UQPdE3Rs3-Q8LxmyRLfLYcSu864NPSUg9s-NhEvSgFwlmPlrx54B4sFixMV75PCPSpiNUdBJGonRfHlXSXwOXtQXK-irjshO_3fhhuW90DTcIz_7i2_xQ.m3u8?ips=&u=1777851232
凤凰香港,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwv5UNWZnqIIqGmHEiPFRdaWUG-oXlGFVreJZjyI1sIF9Ld4NfPglaM0FjgKr0jxb0Pg5KjPzaUVobo-8Yzuq08eK0n-5S_fUs3eFyO5cvrPKa6Q8ZqvCpbz4W3nlJkLUKPeU2HNTnoxNEQVnuFkRf7pLteYQL0UQWR8zZc--ck7t7Ym2pEEkcONCDN0y2-VaIaWxKWH00muEwBLw4mXiXKDESG2Niz6LDTfYzA-ItRxA8.m3u8?ips=&u=1778227758
凤凰香港,http://8.218.84.3:8885/streams/Tt0Lm_oiSosIsFBkgwp6f2cFG_YRJQ05Vs8gudEK-QnZ3o1XrqoZOEaNOy1fVPwvNL86ZG60f_NhQQ18x0-wrYs6Rf2aIB7aWYw_m7ZBUUKysoLKrMSkxPEu6A77yqAYDRycr1-D314gYtq0XfzXC90GfQ1xf50eCZbNfLFnSrlRFwiSsOTFC5gzrARpFB0Q7t6y2bUDv_KOID_HpkXfWvDb5HhK1WLWBqZRZ6quT-gR9yuWGQ7Dxj6FLk3vsKzsMrzwlnc_oXydYGpNbCKGIhfEG-3VaW26-rrFsobabn4.m3u8?ips=&u=1778227765
凤凰香港,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxOlWVYYO4EJMNE9aX1VSOpaxjENUBToII5Uf8JkXp_iWvRV4tuOFmMAWCiLP4krd7wqdNs8b-7mwPAc6oziXqkywDL7RvIzEqygTPfabDnajiCzFYZcZZfwc9NqSfUDup2TCWlDRWitllHOLweYC3RXotgmJZVxSQ8M7KyaE3UUL6XWWmQoOvmiO-cR2MiiVVryg70e1SRCzVCxEXwJJpZHVVwRtsYjsMbAnYgKh9EAQ.m3u8?ips=&u=1777771604
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUHnxAKibDa53tfOQ5gtoKPgTvKKJXsiHvyexcq2zbZyGxQnECk2m6OLvxFho03ffGJJiSV-LdsWLW7XZurHMviPK77htyc_w3mR-LamZABuKpmoQUdvUCNCrT9r0lhHoVBB904r-vHRoQ3OYKB8JfwvkadalLJYTfgz9UNwapiswA.m3u8?ips=&u=1777771919
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUHOYfw3xPgmclZ-GdfwRSEu62mVAxPo1C5L6qhje-8pbot7Lq8DCljlxVmm0ylGuWlmDSHMXc_HMs-8V7Pqqp6oCOn76mImp85vaoVSTsfEM5Xr7rZxdiBr04MgT4ozKLY3zVRXYX_IrQY1NrS-PT33YmNNBwd52yLcBeDjpW5TOA.m3u8?ips=&u=1777872846
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUHyEsV0StxKsFAept5HbO6O3qWrrnMEhOLR68H4anmB7etz4aZQkYg9tPXKxS5GtaSC9YlupUfvBF2GCCICXYySs7KeNLgQ28i51ax_FNk2fk0lGj6yUS4guBLQEihsnIiZflYza_fr1NtqB3Lz4bANOLioM8UfGxyccIKEbWFx-A.m3u8?ips=&u=1777851232
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUFC4YJXTIE5U-zSePptBXs_YU_Y1nr-F5_SvgFREi1cmoE4HfFRKzuirbig1Ulp8N9qXfAsK9SJaiIUaCYV_15UT1Lc5R6WzXpKYxej-DlBdh9P5TF4NHz8VYNBcSMt-55T1NIN1oHJhRPqxURLV4Z6iiCuCwVOCf_ddczk-i8ChA.m3u8?ips=&u=1777810784
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUF4GDtjMYFnvzLlDf1V4BUIw_E7YRcqeDbdSI_PkcSRffx5SsZ3dxNcdZsHAI2LxhOg1PWrOlppRQRuJWk-pN_0C2WFlEWvcn4SsfSEJBvWfX_3cata_cQ3YFhSwzZGLkXjLF-loHibvG0m4KdrcIbvSQVOioAjH6myPA3PVGABSA.m3u8?ips=&u=1777865740
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUF4GDtjMYFnvzLlDf1V4BUILnYaXNeWQXxoyVWIVakgqnaHAE6ctXk_JVEjgUxAmC4bIMLBjyi9mSnhqPq9-8m3kGSreTj-wuKfMKXZDAmDhz54pe5-OacuY7RY0tEuMO4kTreMtkMBG9eBam1aOoLmHtTrPih5F7EuBhHziz97Uw.m3u8?ips=&u=1777865678
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUF4GDtjMYFnvzLlDf1V4BUIsFc0_YFrs7xAUL3R1FYY3VGOcyG9zgKNn5stW_WIBnpLwfEq8j-p73ThbxjSdOOvcecAHjSipkRW9CF3Y5mL5jtFNpYjrKcQkjP3hfvPVqLTtuIK-7zb_KMLs4Ffz8r6UUxZnqayNyW2sbNTLUNRzg.m3u8?ips=&u=1777865868
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUF4GDtjMYFnvzLlDf1V4BUIw_E7YRcqeDbdSI_PkcSRffx5SsZ3dxNcdZsHAI2LxhOg1PWrOlppRQRuJWk-pN_0C2WFlEWvcn4SsfSEJBvWfX_3cata_cQ3YFhSwzZGLkXjLF-loHibvG0m4KdrcIbvSQVOioAjH6myPA3PVGABSA.m3u8?ips=&u=1777865740
TVBS,http://8.218.84.3:8885/streams/SVfwNceEXkJaJyXXbWiHgK9Z7dCunz3Zo6E2nV0RvXRjxZHDOy91KcsooreaaZSxKsApMG7qgzNcPeQDVRFIagm9wPCL98AsQiim2pK1dUF4GDtjMYFnvzLlDf1V4BUI1A7axIIbpy6E29CkCCuybZOSqE5Mn7nWiDGj_JW7J7IeHWtrH5e-7r3eXsDx8bJ1PpKnMI0EVybazvpWpOUpdZBrqGf7xbbXOACgCVSc-HITTshQ0idPRQsAfCcAq79B9zEVdpjDR8NtVO6w6gya2Q.m3u8?ips=&u=1777868068
